"Brand","Model","Year","Price","EngineSize","Gear","Mileage","FuelType","Doors","Description","Car Age","Price per Mile","Engine Efficiency(mile/ltr)"
"Kia","XCeed 1.5T GDi ISG 3 5dr",2024,21399,1.5,"Manual",2830,"Petrol",5,"Kia XCeed 1.5T GDi ISG 3 5dr 1.5  Manual Petrol 5 2024",1,7.56,1886.67
"Kia","Sportage 1.6T GDi GT-Line S 5dr DCT Auto [AWD]",2022,21899,1.6,"Automatic",34257,"Petrol",5,"Kia Sportage 1.6T GDi GT-Line S 5dr DCT Auto [AWD] 1.6  Automatic Petrol 5 2022",3,0.64,21410.62
"Kia","ProCeed 1.5T GDi ISG 138 GT-Line 5dr",2024,22899,1.5,"Manual",142,"Petrol",5,"Kia ProCeed 1.5T GDi ISG 138 GT-Line 5dr 1.5  Manual Petrol 5 2024",1,161.26,94.67
"Kia","Niro 1.6 GDi Hybrid 3 5dr DCT",2022,22950,1.6,"Automatic",20000,"Hybrid",5,"Kia Niro 1.6 GDi Hybrid 3 5dr DCT 1.6  Automatic Hybrid 5 2022",3,1.15,12500
"Kia","Sportage 1.6T GDi ISG 3 5dr",2022,22999,1.6,"Manual",23805,"Petrol",5,"Kia Sportage 1.6T GDi ISG 3 5dr 1.6  Manual Petrol 5 2022",3,0.97,14878.12
"Kia","Sportage 1.6T GDi ISG GT-Line 5dr",2022,23249,1.6,"Manual",21976,"Petrol",5,"Kia Sportage 1.6T GDi ISG GT-Line 5dr 1.6  Manual Petrol 5 2022",3,1.06,13735
"Kia","Niro 1.6 GDi Hybrid 2 5dr DCT",2024,23599,1.6,"Automatic",3789,"Hybrid",5,"Kia Niro 1.6 GDi Hybrid 2 5dr DCT 1.6  Automatic Hybrid 5 2024",1,6.23,2368.12
"Kia","Sportage 1.6T GDi GT-Line S 5dr DCT Auto [AWD]",2022,23649,1.6,"Automatic",21750,"Petrol",5,"Kia Sportage 1.6T GDi GT-Line S 5dr DCT Auto [AWD] 1.6  Automatic Petrol 5 2022",3,1.09,13593.75
"Kia","Sportage 1.6T GDi ISG 3 5dr",2022,23650,1.6,"Manual",17783,"Petrol",5,"Kia Sportage 1.6T GDi ISG 3 5dr 1.6  Manual Petrol 5 2022",3,1.33,11114.38
"Land Rover","Discovery 3.0 SDV6 HSE Luxury 5dr Auto",2015,23750,3,"Automatic",56214,"Diesel",5,"Land Rover Discovery 3.0 SDV6 HSE Luxury 5dr Auto 3.0  Automatic Diesel 5 2015",10,0.42,18738
"Kia","Stinger 3.3 T-GDi GT S 5dr Auto",2020,24149,3.3,"Automatic",46861,"Petrol",5,"Kia Stinger 3.3 T-GDi GT S 5dr Auto 3.3  Automatic Petrol 5 2020",5,0.52,14200.3
"Kia","Sportage 1.6T GDi ISG 3 5dr",2022,24699,1.6,"Manual",8818,"Petrol",5,"Kia Sportage 1.6T GDi ISG 3 5dr 1.6  Manual Petrol 5 2022",3,2.8,5511.25
"Kia","Sportage 1.6T GDi HEV 3 5dr Auto",2022,24950,1.6,"Automatic",36500,"Hybrid",5,"Kia Sportage 1.6T GDi HEV 3 5dr Auto 1.6  Automatic Hybrid 5 2022",3,0.68,22812.5
"Kia","Sportage 1.6T GDi HEV GT-Line 5dr Auto",2022,26199,1.6,"Automatic",20026,"Hybrid",5,"Kia Sportage 1.6T GDi HEV GT-Line 5dr Auto 1.6  Automatic Hybrid 5 2022",3,1.31,12516.25
"Kia","Sportage 1.6 CRDi ISG GT-Line 5dr",2024,26449,1.6,"Manual",7284,"Diesel",5,"Kia Sportage 1.6 CRDi ISG GT-Line 5dr 1.6  Manual Diesel 5 2024",1,3.63,4552.5
"Kia","Sportage 1.6T GDi 48V ISG GT-Line 5dr DCT",2023,26599,1.6,"Automatic",11306,"Hybrid",5,"Kia Sportage 1.6T GDi 48V ISG GT-Line 5dr DCT 1.6  Automatic Hybrid 5 2023",2,2.35,7066.25
"Kia","Niro 1.6 GDi Hybrid 3 5dr DCT",2024,26650,1.6,"Automatic",12010,"Hybrid",5,"Kia Niro 1.6 GDi Hybrid 3 5dr DCT 1.6  Automatic Hybrid 5 2024",1,2.22,7506.25
